0 925000 xx^xx-sil+k=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:6_6%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:6_27/K:1+6-27
925000 2025000 xx^sil-k+o=o/A:-5+1+6/B:xx-xx_xx/C:03_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_6|1_27/G:4_1%0_xx_1/H:xx_xx/I:6-27@1+1&1-6|1+27/J:xx_xx/K:1+6-27
2025000 3325000 sil^k-o+o=ny/A:-5+1+6/B:xx-xx_xx/C:03_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_6|1_27/G:4_1%0_xx_1/H:xx_xx/I:6-27@1+1&1-6|1+27/J:xx_xx/K:1+6-27
3325000 4725000 k^o-o+ny=u/A:-4+2+5/B:xx-xx_xx/C:03_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_6|1_27/G:4_1%0_xx_1/H:xx_xx/I:6-27@1+1&1-6|1+27/J:xx_xx/K:1+6-27
4725000 5125000 o^o-ny+u=u/A:-3+3+4/B:xx-xx_xx/C:03_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_6|1_27/G:4_1%0_xx_1/H:xx_xx/I:6-27@1+1&1-6|1+27/J:xx_xx/K:1+6-27
5125000 5425000 o^ny-u+u=sh/A:-3+3+4/B:xx-xx_xx/C:03_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_6|1_27/G:4_1%0_xx_1/H:xx_xx/I:6-27@1+1&1-6|1+27/J:xx_xx/K:1+6-27
5425000 6425000 ny^u-u+sh=a/A:-2+4+3/B:xx-xx_xx/C:03_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_6|1_27/G:4_1%0_xx_1/H:xx_xx/I:6-27@1+1&1-6|1+27/J:xx_xx/K:1+6-27
6425000 6825000 u^u-sh+a=w/A:-1+5+2/B:03-xx_xx/C:15_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_6|1_27/G:4_1%0_xx_1/H:xx_xx/I:6-27@1+1&1-6|1+27/J:xx_xx/K:1+6-27
6825000 7425000 u^sh-a+w=a/A:-1+5+2/B:03-xx_xx/C:15_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_6|1_27/G:4_1%0_xx_1/H:xx_xx/I:6-27@1+1&1-6|1+27/J:xx_xx/K:1+6-27
7425000 8425000 sh^a-w+a=p/A:0+6+1/B:15-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_6|1_27/G:4_1%0_xx_1/H:xx_xx/I:6-27@1+1&1-6|1+27/J:xx_xx/K:1+6-27
8425000 9225000 a^w-a+p=o/A:0+6+1/B:15-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_6|1_27/G:4_1%0_xx_1/H:xx_xx/I:6-27@1+1&1-6|1+27/J:xx_xx/K:1+6-27
