0 1525000 xx^xx-sil+h=I/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:7_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_19/K:1+4-19
1525000 2125000 xx^sil-h+I=p/A:-3+1+7/B:xx-xx_xx/C:18_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:7_4#0_xx@1_4|1_19/G:4_1%0_xx_1/H:xx_xx/I:4-19@1+1&1-4|1+19/J:xx_xx/K:1+4-19
2125000 2824999 sil^h-I+p=o/A:-3+1+7/B:xx-xx_xx/C:18_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:7_4#0_xx@1_4|1_19/G:4_1%0_xx_1/H:xx_xx/I:4-19@1+1&1-4|1+19/J:xx_xx/K:1+4-19
2824999 3525000 h^I-p+o=k/A:-2+2+6/B:xx-xx_xx/C:18_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:7_4#0_xx@1_4|1_19/G:4_1%0_xx_1/H:xx_xx/I:4-19@1+1&1-4|1+19/J:xx_xx/K:1+4-19
3525000 4125000 I^p-o+k=u/A:-2+2+6/B:xx-xx_xx/C:18_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:7_4#0_xx@1_4|1_19/G:4_1%0_xx_1/H:xx_xx/I:4-19@1+1&1-4|1+19/J:xx_xx/K:1+4-19
4125000 4525000 p^o-k+u=r/A:-1+3+5/B:xx-xx_xx/C:18_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:7_4#0_xx@1_4|1_19/G:4_1%0_xx_1/H:xx_xx/I:4-19@1+1&1-4|1+19/J:xx_xx/K:1+4-19
4525000 5125000 o^k-u+r=a/A:-1+3+5/B:xx-xx_xx/C:18_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:7_4#0_xx@1_4|1_19/G:4_1%0_xx_1/H:xx_xx/I:4-19@1+1&1-4|1+19/J:xx_xx/K:1+4-19
5125000 5425000 k^u-r+a=t/A:0+4+4/B:xx-xx_xx/C:18_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:7_4#0_xx@1_4|1_19/G:4_1%0_xx_1/H:xx_xx/I:4-19@1+1&1-4|1+19/J:xx_xx/K:1+4-19
5425000 6725000 u^r-a+t=e/A:0+4+4/B:xx-xx_xx/C:18_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:7_4#0_xx@1_4|1_19/G:4_1%0_xx_1/H:xx_xx/I:4-19@1+1&1-4|1+19/J:xx_xx/K:1+4-19
6725000 7225000 r^a-t+e=s/A:1+5+3/B:xx-xx_xx/C:18_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:7_4#0_xx@1_4|1_19/G:4_1%0_xx_1/H:xx_xx/I:4-19@1+1&1-4|1+19/J:xx_xx/K:1+4-19
7225000 7725000 a^t-e+s=u/A:1+5+3/B:xx-xx_xx/C:18_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:7_4#0_xx@1_4|1_19/G:4_1%0_xx_1/H:xx_xx/I:4-19@1+1&1-4|1+19/J:xx_xx/K:1+4-19
