0 3025000 xx^xx-sil+t=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:08+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_9/K:3+12-43
3025000 3725000 xx^sil-t+o=k/A:-2+1+4/B:xx-xx_xx/C:08_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_2|1_9/G:5_1%0_xx_1/H:xx_xx/I:2-9@1+3&1-12|1+43/J:4_16/K:3+12-43
3725000 4425000 sil^t-o+k=o/A:-2+1+4/B:xx-xx_xx/C:08_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_2|1_9/G:5_1%0_xx_1/H:xx_xx/I:2-9@1+3&1-12|1+43/J:4_16/K:3+12-43
4425000 4825000 t^o-k+o=r/A:-1+2+3/B:xx-xx_xx/C:08_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_2|1_9/G:5_1%0_xx_1/H:xx_xx/I:2-9@1+3&1-12|1+43/J:4_16/K:3+12-43
4825000 5225000 o^k-o+r=o/A:-1+2+3/B:xx-xx_xx/C:08_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_2|1_9/G:5_1%0_xx_1/H:xx_xx/I:2-9@1+3&1-12|1+43/J:4_16/K:3+12-43
5225000 5925000 k^o-r+o=g/A:0+3+2/B:xx-xx_xx/C:08_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_2|1_9/G:5_1%0_xx_1/H:xx_xx/I:2-9@1+3&1-12|1+43/J:4_16/K:3+12-43
5925000 6625000 o^r-o+g=a/A:0+3+2/B:xx-xx_xx/C:08_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_2|1_9/G:5_1%0_xx_1/H:xx_xx/I:2-9@1+3&1-12|1+43/J:4_16/K:3+12-43
6625000 6925000 r^o-g+a=sh/A:1+4+1/B:xx-xx_xx/C:08_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_2|1_9/G:5_1%0_xx_1/H:xx_xx/I:2-9@1+3&1-12|1+43/J:4_16/K:3+12-43
6925000 7325000 o^g-a+sh=o/A:1+4+1/B:xx-xx_xx/C:08_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_2|1_9/G:5_1%0_xx_1/H:xx_xx/I:2-9@1+3&1-12|1+43/J:4_16/K:3+12-43
7325000 8525000 g^a-sh+o=o/A:0+1+5/B:08-xx_xx/C:02_xx+xx/D:24+xx_xx/E:4_3!0_xx-1/F:5_1#0_xx@2_1|5_5/G:6_3%0_xx_0/H:xx_xx/I:2-9@1+3&1-12|1+43/J:4_16/K:3+12-43
8525000 9825000 a^sh-o+o=n/A:0+1+5/B:08-xx_xx/C:02_xx+xx/D:24+xx_xx/E:4_3!0_xx-1/F:5_1#0_xx@2_1|5_5/G:6_3%0_xx_0/H:xx_xx/I:2-9@1+3&1-12|1+43/J:4_16/K:3+12-43
