0 3425000 xx^xx-sil+ch=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_9/K:3+9-38
3425000 4225000 xx^sil-ch+a=w/A:-3+1+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_2|1_9/G:5_2%0_xx_1/H:xx_xx/I:2-9@1+3&1-9|1+38/J:3_13/K:3+9-38
4225000 5125000 sil^ch-a+w=a/A:-3+1+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_2|1_9/G:5_2%0_xx_1/H:xx_xx/I:2-9@1+3&1-9|1+38/J:3_13/K:3+9-38
5125000 5625000 ch^a-w+a=N/A:-2+2+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_2|1_9/G:5_2%0_xx_1/H:xx_xx/I:2-9@1+3&1-9|1+38/J:3_13/K:3+9-38
5625000 6125000 a^w-a+N=n/A:-2+2+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_2|1_9/G:5_2%0_xx_1/H:xx_xx/I:2-9@1+3&1-9|1+38/J:3_13/K:3+9-38
6125000 7025000 w^a-N+n=i/A:-1+3+2/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_2|1_9/G:5_2%0_xx_1/H:xx_xx/I:2-9@1+3&1-9|1+38/J:3_13/K:3+9-38
7025000 7325000 a^N-n+i=k/A:0+4+1/B:02-xx_xx/C:13_xx+xx/D:20+1_2/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_2|1_9/G:5_2%0_xx_1/H:xx_xx/I:2-9@1+3&1-9|1+38/J:3_13/K:3+9-38
7325000 7925000 N^n-i+k=a/A:0+4+1/B:02-xx_xx/C:13_xx+xx/D:20+1_2/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_2|1_9/G:5_2%0_xx_1/H:xx_xx/I:2-9@1+3&1-9|1+38/J:3_13/K:3+9-38
7925000 8825000 n^i-k+a=k/A:-1+1+5/B:13-xx_xx/C:20_1+2/D:11+xx_xx/E:4_4!0_xx-1/F:5_2#0_xx@2_1|5_5/G:3_1%0_xx_0/H:xx_xx/I:2-9@1+3&1-9|1+38/J:3_13/K:3+9-38
8825000 9425000 i^k-a+k=a/A:-1+1+5/B:13-xx_xx/C:20_1+2/D:11+xx_xx/E:4_4!0_xx-1/F:5_2#0_xx@2_1|5_5/G:3_1%0_xx_0/H:xx_xx/I:2-9@1+3&1-9|1+38/J:3_13/K:3+9-38
9425000 10125000 k^a-k+a=r/A:0+2+4/B:13-xx_xx/C:20_1+2/D:11+xx_xx/E:4_4!0_xx-1/F:5_2#0_xx@2_1|5_5/G:3_1%0_xx_0/H:xx_xx/I:2-9@1+3&1-9|1+38/J:3_13/K:3+9-38
