0 4625000 xx^xx-sil+i=r/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:6_22/K:1+6-22
4625000 5525000 xx^sil-i+r=o/A:-3+1+4/B:xx-xx_xx/C:02_xx+xx/D:20+1_1/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_6|1_22/G:4_3%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
5525000 6125000 sil^i-r+o=i/A:-2+2+3/B:xx-xx_xx/C:02_xx+xx/D:20+1_1/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_6|1_22/G:4_3%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
6125000 7025000 i^r-o+i=r/A:-2+2+3/B:xx-xx_xx/C:02_xx+xx/D:20+1_1/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_6|1_22/G:4_3%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
7025000 7325000 r^o-i+r=o/A:-1+3+2/B:xx-xx_xx/C:02_xx+xx/D:20+1_1/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_6|1_22/G:4_3%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
7325000 7925000 o^i-r+o=k/A:0+4+1/B:xx-xx_xx/C:02_xx+xx/D:20+1_1/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_6|1_22/G:4_3%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
7925000 8425000 i^r-o+k=a/A:0+4+1/B:xx-xx_xx/C:02_xx+xx/D:20+1_1/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_6|1_22/G:4_3%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
8425000 9325000 r^o-k+a=k/A:-2+1+4/B:02-xx_xx/C:20_1+1/D:12+xx_xx/E:4_4!0_xx-1/F:4_3#0_xx@2_5|5_18/G:4_1%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
9325000 9925000 o^k-a+k=U/A:-2+1+4/B:02-xx_xx/C:20_1+1/D:12+xx_xx/E:4_4!0_xx-1/F:4_3#0_xx@2_5|5_18/G:4_1%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
9925000 10325000 k^a-k+U=sh/A:-1+2+3/B:02-xx_xx/C:20_1+1/D:12+xx_xx/E:4_4!0_xx-1/F:4_3#0_xx@2_5|5_18/G:4_1%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
10325000 10925000 a^k-U+sh=i/A:-1+2+3/B:02-xx_xx/C:20_1+1/D:12+xx_xx/E:4_4!0_xx-1/F:4_3#0_xx@2_5|5_18/G:4_1%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
