0 2325000 xx^xx-sil+g=u/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_19/K:1+5-19
2325000 3325000 xx^sil-g+u=N/A:0+1+4/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_5|1_19/G:5_5%0_xx_1/H:xx_xx/I:5-19@1+1&1-5|1+19/J:xx_xx/K:1+5-19
3325000 3925000 sil^g-u+N=i/A:0+1+4/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_5|1_19/G:5_5%0_xx_1/H:xx_xx/I:5-19@1+1&1-5|1+19/J:xx_xx/K:1+5-19
3925000 4725000 g^u-N+i=w/A:1+2+3/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_5|1_19/G:5_5%0_xx_1/H:xx_xx/I:5-19@1+1&1-5|1+19/J:xx_xx/K:1+5-19
4725000 6324999 u^N-i+w=a/A:2+3+2/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_5|1_19/G:5_5%0_xx_1/H:xx_xx/I:5-19@1+1&1-5|1+19/J:xx_xx/K:1+5-19
6324999 7025000 N^i-w+a=by/A:3+4+1/B:02-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_5|1_19/G:5_5%0_xx_1/H:xx_xx/I:5-19@1+1&1-5|1+19/J:xx_xx/K:1+5-19
7025000 7825000 i^w-a+by=o/A:3+4+1/B:02-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_5|1_19/G:5_5%0_xx_1/H:xx_xx/I:5-19@1+1&1-5|1+19/J:xx_xx/K:1+5-19
7825000 8825000 w^a-by+o=o/A:-4+1+5/B:24-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_1!0_xx-1/F:5_5#0_xx@2_4|5_15/G:3_1%0_xx_1/H:xx_xx/I:5-19@1+1&1-5|1+19/J:xx_xx/K:1+5-19
8825000 10425000 a^by-o+o=i/A:-4+1+5/B:24-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_1!0_xx-1/F:5_5#0_xx@2_4|5_15/G:3_1%0_xx_1/H:xx_xx/I:5-19@1+1&1-5|1+19/J:xx_xx/K:1+5-19
10425000 11225000 by^o-o+i=N/A:-3+2+4/B:24-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_1!0_xx-1/F:5_5#0_xx@2_4|5_15/G:3_1%0_xx_1/H:xx_xx/I:5-19@1+1&1-5|1+19/J:xx_xx/K:1+5-19
11225000 11625000 o^o-i+N=n/A:-2+3+3/B:24-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_1!0_xx-1/F:5_5#0_xx@2_4|5_15/G:3_1%0_xx_1/H:xx_xx/I:5-19@1+1&1-5|1+19/J:xx_xx/K:1+5-19
