0 3325000 xx^xx-sil+i=ch/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:6_6%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_14/K:2+8-36
3325000 3925000 xx^sil-i+ch=i/A:-5+1+6/B:xx-xx_xx/C:02_xx+xx/D:01+7_2/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_3|1_14/G:4_4%0_xx_1/H:xx_xx/I:3-14@1+2&1-8|1+36/J:5_22/K:2+8-36
3925000 4725000 sil^i-ch+i=n/A:-4+2+5/B:xx-xx_xx/C:02_xx+xx/D:01+7_2/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_3|1_14/G:4_4%0_xx_1/H:xx_xx/I:3-14@1+2&1-8|1+36/J:5_22/K:2+8-36
4725000 5125000 i^ch-i+n=i/A:-4+2+5/B:xx-xx_xx/C:02_xx+xx/D:01+7_2/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_3|1_14/G:4_4%0_xx_1/H:xx_xx/I:3-14@1+2&1-8|1+36/J:5_22/K:2+8-36
5125000 5725000 ch^i-n+i=ch/A:-3+3+4/B:xx-xx_xx/C:02_xx+xx/D:01+7_2/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_3|1_14/G:4_4%0_xx_1/H:xx_xx/I:3-14@1+2&1-8|1+36/J:5_22/K:2+8-36
5725000 6525000 i^n-i+ch=i/A:-3+3+4/B:xx-xx_xx/C:02_xx+xx/D:01+7_2/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_3|1_14/G:4_4%0_xx_1/H:xx_xx/I:3-14@1+2&1-8|1+36/J:5_22/K:2+8-36
6525000 7325000 n^i-ch+i=j/A:-2+4+3/B:xx-xx_xx/C:02_xx+xx/D:01+7_2/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_3|1_14/G:4_4%0_xx_1/H:xx_xx/I:3-14@1+2&1-8|1+36/J:5_22/K:2+8-36
7325000 8025000 i^ch-i+j=u/A:-2+4+3/B:xx-xx_xx/C:02_xx+xx/D:01+7_2/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_3|1_14/G:4_4%0_xx_1/H:xx_xx/I:3-14@1+2&1-8|1+36/J:5_22/K:2+8-36
8025000 9025000 ch^i-j+u=u/A:-1+5+2/B:xx-xx_xx/C:02_xx+xx/D:01+7_2/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_3|1_14/G:4_4%0_xx_1/H:xx_xx/I:3-14@1+2&1-8|1+36/J:5_22/K:2+8-36
9025000 9325000 i^j-u+u=a/A:-1+5+2/B:xx-xx_xx/C:02_xx+xx/D:01+7_2/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_3|1_14/G:4_4%0_xx_1/H:xx_xx/I:3-14@1+2&1-8|1+36/J:5_22/K:2+8-36
9325000 9825000 j^u-u+a=k/A:0+6+1/B:xx-xx_xx/C:02_xx+xx/D:01+7_2/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_3|1_14/G:4_4%0_xx_1/H:xx_xx/I:3-14@1+2&1-8|1+36/J:5_22/K:2+8-36
9825000 11425000 u^u-a+k=a/A:-3+1+4/B:02-xx_xx/C:01_7+2/D:02+xx_xx/E:6_6!0_xx-1/F:4_4#0_xx@2_2|7_8/G:4_1%0_xx_1/H:xx_xx/I:3-14@1+2&1-8|1+36/J:5_22/K:2+8-36
11425000 12225000 u^a-k+a=r/A:-2+2+3/B:02-xx_xx/C:01_7+2/D:02+xx_xx/E:6_6!0_xx-1/F:4_4#0_xx@2_2|7_8/G:4_1%0_xx_1/H:xx_xx/I:3-14@1+2&1-8|1+36/J:5_22/K:2+8-36
12225000 12725000 a^k-a+r=u/A:-2+2+3/B:02-xx_xx/C:01_7+2/D:02+xx_xx/E:6_6!0_xx-1/F:4_4#0_xx@2_2|7_8/G:4_1%0_xx_1/H:xx_xx/I:3-14@1+2&1-8|1+36/J:5_22/K:2+8-36
12725000 13125000 k^a-r+u=i/A:-1+3+2/B:02-xx_xx/C:01_7+2/D:02+xx_xx/E:6_6!0_xx-1/F:4_4#0_xx@2_2|7_8/G:4_1%0_xx_1/H:xx_xx/I:3-14@1+2&1-8|1+36/J:5_22/K:2+8-36
13125000 13825000 a^r-u+i=by/A:-1+3+2/B:02-xx_xx/C:01_7+2/D:02+xx_xx/E:6_6!0_xx-1/F:4_4#0_xx@2_2|7_8/G:4_1%0_xx_1/H:xx_xx/I:3-14@1+2&1-8|1+36/J:5_22/K:2+8-36
