0 1825000 xx^xx-sil+g=e/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_5%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_24/K:1+5-24
1825000 2325000 xx^sil-g+e=e/A:-4+1+5/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_5|1_24/G:4_3%0_xx_1/H:xx_xx/I:5-24@1+1&1-5|1+24/J:xx_xx/K:1+5-24
2325000 4125000 sil^g-e+e=j/A:-4+1+5/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_5|1_24/G:4_3%0_xx_1/H:xx_xx/I:5-24@1+1&1-5|1+24/J:xx_xx/K:1+5-24
4125000 4725000 g^e-e+j=u/A:-3+2+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_5|1_24/G:4_3%0_xx_1/H:xx_xx/I:5-24@1+1&1-5|1+24/J:xx_xx/K:1+5-24
4725000 5225000 e^e-j+u=ts/A:-2+3+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_5|1_24/G:4_3%0_xx_1/H:xx_xx/I:5-24@1+1&1-5|1+24/J:xx_xx/K:1+5-24
5225000 6324999 e^j-u+ts=u/A:-2+3+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_5|1_24/G:4_3%0_xx_1/H:xx_xx/I:5-24@1+1&1-5|1+24/J:xx_xx/K:1+5-24
6324999 6625000 j^u-ts+u=n/A:-1+4+2/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_5|1_24/G:4_3%0_xx_1/H:xx_xx/I:5-24@1+1&1-5|1+24/J:xx_xx/K:1+5-24
6625000 7125000 u^ts-u+n=o/A:-1+4+2/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_5|1_24/G:4_3%0_xx_1/H:xx_xx/I:5-24@1+1&1-5|1+24/J:xx_xx/K:1+5-24
7125000 7725000 ts^u-n+o=m/A:0+5+1/B:02-xx_xx/C:13_xx+xx/D:20+3_2/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_5|1_24/G:4_3%0_xx_1/H:xx_xx/I:5-24@1+1&1-5|1+24/J:xx_xx/K:1+5-24
7725000 8525000 u^n-o+m=o/A:0+5+1/B:02-xx_xx/C:13_xx+xx/D:20+3_2/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_5|1_24/G:4_3%0_xx_1/H:xx_xx/I:5-24@1+1&1-5|1+24/J:xx_xx/K:1+5-24
8525000 9325000 n^o-m+o=t/A:-2+1+4/B:13-xx_xx/C:20_3+2/D:19+xx_xx/E:5_5!0_xx-1/F:4_3#0_xx@2_4|6_19/G:7_7%0_xx_1/H:xx_xx/I:5-24@1+1&1-5|1+24/J:xx_xx/K:1+5-24
