0 1325000 xx^xx-sil+k=I/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:20+3_1/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_5/K:3+6-24
1325000 2325000 xx^sil-k+I=k/A:-3+1+5/B:xx-xx_xx/C:20_3+1/D:12+xx_xx/E:xx_xx!xx_xx-xx/F:5_4#0_xx@1_1|1_5/G:4_1%0_xx_0/H:xx_xx/I:1-5@1+3&1-6|1+24/J:2_7/K:3+6-24
2325000 2824999 sil^k-I+k=i/A:-3+1+5/B:xx-xx_xx/C:20_3+1/D:12+xx_xx/E:xx_xx!xx_xx-xx/F:5_4#0_xx@1_1|1_5/G:4_1%0_xx_0/H:xx_xx/I:1-5@1+3&1-6|1+24/J:2_7/K:3+6-24
2824999 3225000 k^I-k+i=ts/A:-2+2+4/B:xx-xx_xx/C:20_3+1/D:12+xx_xx/E:xx_xx!xx_xx-xx/F:5_4#0_xx@1_1|1_5/G:4_1%0_xx_0/H:xx_xx/I:1-5@1+3&1-6|1+24/J:2_7/K:3+6-24
3225000 4225000 I^k-i+ts=U/A:-2+2+4/B:xx-xx_xx/C:20_3+1/D:12+xx_xx/E:xx_xx!xx_xx-xx/F:5_4#0_xx@1_1|1_5/G:4_1%0_xx_0/H:xx_xx/I:1-5@1+3&1-6|1+24/J:2_7/K:3+6-24
4225000 4925000 k^i-ts+U=k/A:-1+3+3/B:xx-xx_xx/C:20_3+1/D:12+xx_xx/E:xx_xx!xx_xx-xx/F:5_4#0_xx@1_1|1_5/G:4_1%0_xx_0/H:xx_xx/I:1-5@1+3&1-6|1+24/J:2_7/K:3+6-24
4925000 5225000 i^ts-U+k=e/A:-1+3+3/B:xx-xx_xx/C:20_3+1/D:12+xx_xx/E:xx_xx!xx_xx-xx/F:5_4#0_xx@1_1|1_5/G:4_1%0_xx_0/H:xx_xx/I:1-5@1+3&1-6|1+24/J:2_7/K:3+6-24
5225000 5725000 ts^U-k+e=t/A:0+4+2/B:xx-xx_xx/C:20_3+1/D:12+xx_xx/E:xx_xx!xx_xx-xx/F:5_4#0_xx@1_1|1_5/G:4_1%0_xx_0/H:xx_xx/I:1-5@1+3&1-6|1+24/J:2_7/K:3+6-24
5725000 6825000 U^k-e+t=e/A:0+4+2/B:xx-xx_xx/C:20_3+1/D:12+xx_xx/E:xx_xx!xx_xx-xx/F:5_4#0_xx@1_1|1_5/G:4_1%0_xx_0/H:xx_xx/I:1-5@1+3&1-6|1+24/J:2_7/K:3+6-24
6825000 7225000 k^e-t+e=pau/A:1+5+1/B:20-3_1/C:12_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:5_4#0_xx@1_1|1_5/G:4_1%0_xx_0/H:xx_xx/I:1-5@1+3&1-6|1+24/J:2_7/K:3+6-24
7225000 8725000 e^t-e+pau=k/A:1+5+1/B:20-3_1/C:12_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:5_4#0_xx@1_1|1_5/G:4_1%0_xx_0/H:xx_xx/I:1-5@1+3&1-6|1+24/J:2_7/K:3+6-24
8725000 9325000 t^e-pau+k=u/A:xx+xx+xx/B:12-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:5_4!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_1%0_xx_xx/H:1_5/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_7/K:3+6-24
9325000 10025000 e^pau-k+u=d/A:0+1+4/B:12-xx_xx/C:02_xx+xx/D:23+xx_xx/E:5_4!0_xx-0/F:4_1#0_xx@1_2|1_7/G:3_1%0_xx_1/H:1_5/I:2-7@2+2&2-5|6+19/J:3_12/K:3+6-24
