0 4625000 xx^xx-sil+i=N/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:8_5%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_8/K:3+7-33
4625000 5925000 xx^sil-i+N=s/A:-4+1+8/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:8_5#0_xx@1_1|1_8/G:5_2%0_xx_0/H:xx_xx/I:1-8@1+3&1-7|1+33/J:3_13/K:3+7-33
5925000 6324999 sil^i-N+s=U/A:-3+2+7/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:8_5#0_xx@1_1|1_8/G:5_2%0_xx_0/H:xx_xx/I:1-8@1+3&1-7|1+33/J:3_13/K:3+7-33
6324999 8125000 i^N-s+U=t/A:-2+3+6/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:8_5#0_xx@1_1|1_8/G:5_2%0_xx_0/H:xx_xx/I:1-8@1+3&1-7|1+33/J:3_13/K:3+7-33
8125000 9025000 N^s-U+t=i/A:-2+3+6/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:8_5#0_xx@1_1|1_8/G:5_2%0_xx_0/H:xx_xx/I:1-8@1+3&1-7|1+33/J:3_13/K:3+7-33
9025000 9525000 s^U-t+i=ch/A:-1+4+5/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:8_5#0_xx@1_1|1_8/G:5_2%0_xx_0/H:xx_xx/I:1-8@1+3&1-7|1+33/J:3_13/K:3+7-33
9525000 10125000 U^t-i+ch=u/A:-1+4+5/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:8_5#0_xx@1_1|1_8/G:5_2%0_xx_0/H:xx_xx/I:1-8@1+3&1-7|1+33/J:3_13/K:3+7-33
10125000 10425000 t^i-ch+u=u/A:0+5+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:8_5#0_xx@1_1|1_8/G:5_2%0_xx_0/H:xx_xx/I:1-8@1+3&1-7|1+33/J:3_13/K:3+7-33
10425000 11625000 i^ch-u+u=t/A:0+5+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:8_5#0_xx@1_1|1_8/G:5_2%0_xx_0/H:xx_xx/I:1-8@1+3&1-7|1+33/J:3_13/K:3+7-33
11625000 12024999 ch^u-u+t=o/A:1+6+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:8_5#0_xx@1_1|1_8/G:5_2%0_xx_0/H:xx_xx/I:1-8@1+3&1-7|1+33/J:3_13/K:3+7-33
12024999 12725000 u^u-t+o=d/A:2+7+2/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:8_5#0_xx@1_1|1_8/G:5_2%0_xx_0/H:xx_xx/I:1-8@1+3&1-7|1+33/J:3_13/K:3+7-33
12725000 13225000 u^t-o+d=e/A:2+7+2/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:8_5#0_xx@1_1|1_8/G:5_2%0_xx_0/H:xx_xx/I:1-8@1+3&1-7|1+33/J:3_13/K:3+7-33
13225000 15525000 t^o-d+e=pau/A:3+8+1/B:02-xx_xx/C:13_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:8_5#0_xx@1_1|1_8/G:5_2%0_xx_0/H:xx_xx/I:1-8@1+3&1-7|1+33/J:3_13/K:3+7-33
15525000 17025000 o^d-e+pau=r/A:3+8+1/B:02-xx_xx/C:13_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:8_5#0_xx@1_1|1_8/G:5_2%0_xx_0/H:xx_xx/I:1-8@1+3&1-7|1+33/J:3_13/K:3+7-33
17025000 17525000 d^e-pau+r=i/A:xx+xx+xx/B:13-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:8_5!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_2%0_xx_xx/H:1_8/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_13/K:3+7-33
17525000 18625000 e^pau-r+i=dy/A:-1+1+5/B:13-xx_xx/C:02_xx+xx/D:23+xx_xx/E:8_5!0_xx-0/F:5_2#0_xx@1_3|1_13/G:4_3%0_xx_1/H:1_8/I:3-13@2+2&2-6|9+25/J:3_12/K:3+7-33
18625000 19025000 pau^r-i+dy=u/A:-1+1+5/B:13-xx_xx/C:02_xx+xx/D:23+xx_xx/E:8_5!0_xx-0/F:5_2#0_xx@1_3|1_13/G:4_3%0_xx_1/H:1_8/I:3-13@2+2&2-6|9+25/J:3_12/K:3+7-33
19025000 20325000 r^i-dy+u=u/A:0+2+4/B:13-xx_xx/C:02_xx+xx/D:23+xx_xx/E:8_5!0_xx-0/F:5_2#0_xx@1_3|1_13/G:4_3%0_xx_1/H:1_8/I:3-13@2+2&2-6|9+25/J:3_12/K:3+7-33
20325000 21625000 i^dy-u+u=s/A:0+2+4/B:13-xx_xx/C:02_xx+xx/D:23+xx_xx/E:8_5!0_xx-0/F:5_2#0_xx@1_3|1_13/G:4_3%0_xx_1/H:1_8/I:3-13@2+2&2-6|9+25/J:3_12/K:3+7-33
21625000 21925000 dy^u-u+s=u/A:1+3+3/B:13-xx_xx/C:02_xx+xx/D:23+xx_xx/E:8_5!0_xx-0/F:5_2#0_xx@1_3|1_13/G:4_3%0_xx_1/H:1_8/I:3-13@2+2&2-6|9+25/J:3_12/K:3+7-33
21925000 22225000 u^u-s+u=n/A:2+4+2/B:13-xx_xx/C:02_xx+xx/D:23+xx_xx/E:8_5!0_xx-0/F:5_2#0_xx@1_3|1_13/G:4_3%0_xx_1/H:1_8/I:3-13@2+2&2-6|9+25/J:3_12/K:3+7-33
22225000 22525000 u^s-u+n=o/A:2+4+2/B:13-xx_xx/C:02_xx+xx/D:23+xx_xx/E:8_5!0_xx-0/F:5_2#0_xx@1_3|1_13/G:4_3%0_xx_1/H:1_8/I:3-13@2+2&2-6|9+25/J:3_12/K:3+7-33
22525000 23825000 s^u-n+o=h/A:3+5+1/B:02-xx_xx/C:23_xx+xx/D:03+xx_xx/E:8_5!0_xx-0/F:5_2#0_xx@1_3|1_13/G:4_3%0_xx_1/H:1_8/I:3-13@2+2&2-6|9+25/J:3_12/K:3+7-33
23825000 24125000 u^n-o+h=a/A:3+5+1/B:02-xx_xx/C:23_xx+xx/D:03+xx_xx/E:8_5!0_xx-0/F:5_2#0_xx@1_3|1_13/G:4_3%0_xx_1/H:1_8/I:3-13@2+2&2-6|9+25/J:3_12/K:3+7-33
24125000 24625000 n^o-h+a=n/A:-2+1+4/B:23-xx_xx/C:03_xx+xx/D:13+xx_xx/E:5_2!0_xx-1/F:4_3#0_xx@2_2|6_8/G:4_3%0_xx_1/H:1_8/I:3-13@2+2&2-6|9+25/J:3_12/K:3+7-33
