0 4225000 xx^xx-sil+i=b/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:19+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:6_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_16/K:2+8-35
4225000 4725000 xx^sil-i+b=u/A:-3+1+6/B:xx-xx_xx/C:19_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_3|1_16/G:4_4%0_xx_1/H:xx_xx/I:3-16@1+2&1-8|1+35/J:5_19/K:2+8-35
4725000 5225000 sil^i-b+u=k/A:-2+2+5/B:xx-xx_xx/C:19_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_3|1_16/G:4_4%0_xx_1/H:xx_xx/I:3-16@1+2&1-8|1+35/J:5_19/K:2+8-35
5225000 6025000 i^b-u+k=a/A:-2+2+5/B:xx-xx_xx/C:19_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_3|1_16/G:4_4%0_xx_1/H:xx_xx/I:3-16@1+2&1-8|1+35/J:5_19/K:2+8-35
6025000 6725000 b^u-k+a=sh/A:-1+3+4/B:xx-xx_xx/C:19_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_3|1_16/G:4_4%0_xx_1/H:xx_xx/I:3-16@1+2&1-8|1+35/J:5_19/K:2+8-35
6725000 7025000 u^k-a+sh=i/A:-1+3+4/B:xx-xx_xx/C:19_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_3|1_16/G:4_4%0_xx_1/H:xx_xx/I:3-16@1+2&1-8|1+35/J:5_19/K:2+8-35
7025000 8025000 k^a-sh+i=g/A:0+4+3/B:xx-xx_xx/C:19_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_3|1_16/G:4_4%0_xx_1/H:xx_xx/I:3-16@1+2&1-8|1+35/J:5_19/K:2+8-35
8025000 8525000 a^sh-i+g=e/A:0+4+3/B:xx-xx_xx/C:19_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_3|1_16/G:4_4%0_xx_1/H:xx_xx/I:3-16@1+2&1-8|1+35/J:5_19/K:2+8-35
8525000 8825000 sh^i-g+e=n/A:1+5+2/B:xx-xx_xx/C:19_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_3|1_16/G:4_4%0_xx_1/H:xx_xx/I:3-16@1+2&1-8|1+35/J:5_19/K:2+8-35
8825000 9725000 i^g-e+n=i/A:1+5+2/B:xx-xx_xx/C:19_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_3|1_16/G:4_4%0_xx_1/H:xx_xx/I:3-16@1+2&1-8|1+35/J:5_19/K:2+8-35
9725000 10525000 g^e-n+i=m/A:2+6+1/B:19-xx_xx/C:23_xx+xx/D:20+3_1/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_3|1_16/G:4_4%0_xx_1/H:xx_xx/I:3-16@1+2&1-8|1+35/J:5_19/K:2+8-35
10525000 11125000 e^n-i+m=i/A:2+6+1/B:19-xx_xx/C:23_xx+xx/D:20+3_1/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_3|1_16/G:4_4%0_xx_1/H:xx_xx/I:3-16@1+2&1-8|1+35/J:5_19/K:2+8-35
11125000 11825000 n^i-m+i=a/A:-3+1+4/B:23-xx_xx/C:20_3+1/D:10+7_2/E:6_4!0_xx-1/F:4_4#0_xx@2_2|7_10/G:6_6%0_xx_1/H:xx_xx/I:3-16@1+2&1-8|1+35/J:5_19/K:2+8-35
11825000 12325000 i^m-i+a=g/A:-3+1+4/B:23-xx_xx/C:20_3+1/D:10+7_2/E:6_4!0_xx-1/F:4_4#0_xx@2_2|7_10/G:6_6%0_xx_1/H:xx_xx/I:3-16@1+2&1-8|1+35/J:5_19/K:2+8-35
12325000 13225000 m^i-a+g=e/A:-2+2+3/B:23-xx_xx/C:20_3+1/D:10+7_2/E:6_4!0_xx-1/F:4_4#0_xx@2_2|7_10/G:6_6%0_xx_1/H:xx_xx/I:3-16@1+2&1-8|1+35/J:5_19/K:2+8-35
13225000 13725000 i^a-g+e=t/A:-1+3+2/B:23-xx_xx/C:20_3+1/D:10+7_2/E:6_4!0_xx-1/F:4_4#0_xx@2_2|7_10/G:6_6%0_xx_1/H:xx_xx/I:3-16@1+2&1-8|1+35/J:5_19/K:2+8-35
13725000 14625000 a^g-e+t=a/A:-1+3+2/B:23-xx_xx/C:20_3+1/D:10+7_2/E:6_4!0_xx-1/F:4_4#0_xx@2_2|7_10/G:6_6%0_xx_1/H:xx_xx/I:3-16@1+2&1-8|1+35/J:5_19/K:2+8-35
14625000 15125000 g^e-t+a=a/A:0+4+1/B:20-3_1/C:10_7+2/D:02+xx_xx/E:6_4!0_xx-1/F:4_4#0_xx@2_2|7_10/G:6_6%0_xx_1/H:xx_xx/I:3-16@1+2&1-8|1+35/J:5_19/K:2+8-35
15125000 15925000 e^t-a+a=m/A:0+4+1/B:20-3_1/C:10_7+2/D:02+xx_xx/E:6_4!0_xx-1/F:4_4#0_xx@2_2|7_10/G:6_6%0_xx_1/H:xx_xx/I:3-16@1+2&1-8|1+35/J:5_19/K:2+8-35
15925000 16425000 t^a-a+m=a/A:-5+1+6/B:10-7_2/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:6_6#0_xx@3_1|11_6/G:6_6%0_xx_0/H:xx_xx/I:3-16@1+2&1-8|1+35/J:5_19/K:2+8-35
16425000 17225000 a^a-m+a=g/A:-4+2+5/B:10-7_2/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:6_6#0_xx@3_1|11_6/G:6_6%0_xx_0/H:xx_xx/I:3-16@1+2&1-8|1+35/J:5_19/K:2+8-35
17225000 17625000 a^m-a+g=u/A:-4+2+5/B:10-7_2/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:6_6#0_xx@3_1|11_6/G:6_6%0_xx_0/H:xx_xx/I:3-16@1+2&1-8|1+35/J:5_19/K:2+8-35
17625000 18325000 m^a-g+u=m/A:-3+3+4/B:10-7_2/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:6_6#0_xx@3_1|11_6/G:6_6%0_xx_0/H:xx_xx/I:3-16@1+2&1-8|1+35/J:5_19/K:2+8-35
18325000 18625000 a^g-u+m=o/A:-3+3+4/B:10-7_2/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:6_6#0_xx@3_1|11_6/G:6_6%0_xx_0/H:xx_xx/I:3-16@1+2&1-8|1+35/J:5_19/K:2+8-35
18625000 19325000 g^u-m+o=k/A:-2+4+3/B:10-7_2/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:6_6#0_xx@3_1|11_6/G:6_6%0_xx_0/H:xx_xx/I:3-16@1+2&1-8|1+35/J:5_19/K:2+8-35
19325000 20025000 u^m-o+k=a/A:-2+4+3/B:10-7_2/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:6_6#0_xx@3_1|11_6/G:6_6%0_xx_0/H:xx_xx/I:3-16@1+2&1-8|1+35/J:5_19/K:2+8-35
20025000 20724999 m^o-k+a=r/A:-1+5+2/B:02-xx_xx/C:13_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:6_6#0_xx@3_1|11_6/G:6_6%0_xx_0/H:xx_xx/I:3-16@1+2&1-8|1+35/J:5_19/K:2+8-35
20724999 21225000 o^k-a+r=a/A:-1+5+2/B:02-xx_xx/C:13_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:6_6#0_xx@3_1|11_6/G:6_6%0_xx_0/H:xx_xx/I:3-16@1+2&1-8|1+35/J:5_19/K:2+8-35
21225000 21525000 k^a-r+a=pau/A:0+6+1/B:02-xx_xx/C:13_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:6_6#0_xx@3_1|11_6/G:6_6%0_xx_0/H:xx_xx/I:3-16@1+2&1-8|1+35/J:5_19/K:2+8-35
21525000 23325000 a^r-a+pau=k/A:0+6+1/B:02-xx_xx/C:13_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:6_6#0_xx@3_1|11_6/G:6_6%0_xx_0/H:xx_xx/I:3-16@1+2&1-8|1+35/J:5_19/K:2+8-35
23325000 25924999 r^a-pau+k=o/A:xx+xx+xx/B:13-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:6_6!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:6_6%0_xx_xx/H:3_16/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_19/K:2+8-35
25924999 26525000 a^pau-k+o=h/A:-5+1+6/B:13-xx_xx/C:02_xx+xx/D:15+xx_xx/E:6_6!0_xx-0/F:6_6#0_xx@1_5|1_19/G:5_1%0_xx_1/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
26525000 27125000 pau^k-o+h=a/A:-5+1+6/B:13-xx_xx/C:02_xx+xx/D:15+xx_xx/E:6_6!0_xx-0/F:6_6#0_xx@1_5|1_19/G:5_1%0_xx_1/H:3_16/I:5-19@2+1&4-5|17+19/J:xx_xx/K:2+8-35
