0 3825000 xx^xx-sil+m=u/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:06+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_11/K:2+8-29
3825000 4625000 xx^sil-m+u=N/A:0+1+5/B:xx-xx_xx/C:06_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_3|1_11/G:2_2%0_xx_1/H:xx_xx/I:3-11@1+2&1-8|1+29/J:5_18/K:2+8-29
4625000 5325000 sil^m-u+N=m/A:0+1+5/B:xx-xx_xx/C:06_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_3|1_11/G:2_2%0_xx_1/H:xx_xx/I:3-11@1+2&1-8|1+29/J:5_18/K:2+8-29
5325000 6324999 m^u-N+m=u/A:1+2+4/B:xx-xx_xx/C:06_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_3|1_11/G:2_2%0_xx_1/H:xx_xx/I:3-11@1+2&1-8|1+29/J:5_18/K:2+8-29
6324999 6625000 u^N-m+u=N/A:2+3+3/B:xx-xx_xx/C:06_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_3|1_11/G:2_2%0_xx_1/H:xx_xx/I:3-11@1+2&1-8|1+29/J:5_18/K:2+8-29
6625000 6925000 N^m-u+N=t/A:2+3+3/B:xx-xx_xx/C:06_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_3|1_11/G:2_2%0_xx_1/H:xx_xx/I:3-11@1+2&1-8|1+29/J:5_18/K:2+8-29
6925000 8325000 m^u-N+t=o/A:3+4+2/B:xx-xx_xx/C:06_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_3|1_11/G:2_2%0_xx_1/H:xx_xx/I:3-11@1+2&1-8|1+29/J:5_18/K:2+8-29
8325000 8725000 u^N-t+o=sh/A:4+5+1/B:06-xx_xx/C:13_xx+xx/D:20+4_1/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_3|1_11/G:2_2%0_xx_1/H:xx_xx/I:3-11@1+2&1-8|1+29/J:5_18/K:2+8-29
8725000 9025000 N^t-o+sh=I/A:4+5+1/B:06-xx_xx/C:13_xx+xx/D:20+4_1/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_3|1_11/G:2_2%0_xx_1/H:xx_xx/I:3-11@1+2&1-8|1+29/J:5_18/K:2+8-29
9025000 9625000 t^o-sh+I=t/A:-1+1+2/B:13-xx_xx/C:20_4+1/D:10+7_2/E:5_1!0_xx-1/F:2_2#0_xx@2_2|6_6/G:4_4%0_xx_1/H:xx_xx/I:3-11@1+2&1-8|1+29/J:5_18/K:2+8-29
9625000 9925000 o^sh-I+t=a/A:-1+1+2/B:13-xx_xx/C:20_4+1/D:10+7_2/E:5_1!0_xx-1/F:2_2#0_xx@2_2|6_6/G:4_4%0_xx_1/H:xx_xx/I:3-11@1+2&1-8|1+29/J:5_18/K:2+8-29
9925000 10425000 sh^I-t+a=n/A:0+2+1/B:20-4_1/C:10_7+2/D:02+xx_xx/E:5_1!0_xx-1/F:2_2#0_xx@2_2|6_6/G:4_4%0_xx_1/H:xx_xx/I:3-11@1+2&1-8|1+29/J:5_18/K:2+8-29
10425000 10725000 I^t-a+n=e/A:0+2+1/B:20-4_1/C:10_7+2/D:02+xx_xx/E:5_1!0_xx-1/F:2_2#0_xx@2_2|6_6/G:4_4%0_xx_1/H:xx_xx/I:3-11@1+2&1-8|1+29/J:5_18/K:2+8-29
10725000 11525000 t^a-n+e=cl/A:-3+1+4/B:10-7_2/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:4_4#0_xx@3_1|8_4/G:2_2%0_xx_0/H:xx_xx/I:3-11@1+2&1-8|1+29/J:5_18/K:2+8-29
11525000 12325000 a^n-e+cl=k/A:-3+1+4/B:10-7_2/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:4_4#0_xx@3_1|8_4/G:2_2%0_xx_0/H:xx_xx/I:3-11@1+2&1-8|1+29/J:5_18/K:2+8-29
12325000 13425000 n^e-cl+k=i/A:-2+2+3/B:10-7_2/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:4_4#0_xx@3_1|8_4/G:2_2%0_xx_0/H:xx_xx/I:3-11@1+2&1-8|1+29/J:5_18/K:2+8-29
13425000 13825000 e^cl-k+i=n/A:-1+3+2/B:10-7_2/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:4_4#0_xx@3_1|8_4/G:2_2%0_xx_0/H:xx_xx/I:3-11@1+2&1-8|1+29/J:5_18/K:2+8-29
13825000 14424999 cl^k-i+n=i/A:-1+3+2/B:10-7_2/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:4_4#0_xx@3_1|8_4/G:2_2%0_xx_0/H:xx_xx/I:3-11@1+2&1-8|1+29/J:5_18/K:2+8-29
14424999 15025000 k^i-n+i=pau/A:0+4+1/B:02-xx_xx/C:13_xx+xx/D:07+xx_xx/E:2_2!0_xx-1/F:4_4#0_xx@3_1|8_4/G:2_2%0_xx_0/H:xx_xx/I:3-11@1+2&1-8|1+29/J:5_18/K:2+8-29
15025000 16825000 i^n-i+pau=a/A:0+4+1/B:02-xx_xx/C:13_xx+xx/D:07+xx_xx/E:2_2!0_xx-1/F:4_4#0_xx@3_1|8_4/G:2_2%0_xx_0/H:xx_xx/I:3-11@1+2&1-8|1+29/J:5_18/K:2+8-29
16825000 18225000 n^i-pau+a=n/A:xx+xx+xx/B:13-xx_xx/C:xx_xx+xx/D:07+xx_xx/E:4_4!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:2_2%0_xx_xx/H:3_11/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_18/K:2+8-29
