0 6125000 xx^xx-sil+sh=U/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_5%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_5/K:3+8-28
6125000 7524999 xx^sil-sh+U=s/A:-4+1+5/B:xx-xx_xx/C:03_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_1|1_5/G:2_2%0_xx_0/H:xx_xx/I:1-5@1+3&1-8|1+28/J:5_15/K:3+8-28
7524999 7925000 sil^sh-U+s=a/A:-4+1+5/B:xx-xx_xx/C:03_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_1|1_5/G:2_2%0_xx_0/H:xx_xx/I:1-5@1+3&1-8|1+28/J:5_15/K:3+8-28
7925000 9025000 sh^U-s+a=i/A:-3+2+4/B:xx-xx_xx/C:03_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_1|1_5/G:2_2%0_xx_0/H:xx_xx/I:1-5@1+3&1-8|1+28/J:5_15/K:3+8-28
9025000 10025000 U^s-a+i=sh/A:-3+2+4/B:xx-xx_xx/C:03_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_1|1_5/G:2_2%0_xx_0/H:xx_xx/I:1-5@1+3&1-8|1+28/J:5_15/K:3+8-28
10025000 10325000 s^a-i+sh=a/A:-2+3+3/B:xx-xx_xx/C:03_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_1|1_5/G:2_2%0_xx_0/H:xx_xx/I:1-5@1+3&1-8|1+28/J:5_15/K:3+8-28
10325000 11425000 a^i-sh+a=w/A:-1+4+2/B:03-xx_xx/C:15_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_1|1_5/G:2_2%0_xx_0/H:xx_xx/I:1-5@1+3&1-8|1+28/J:5_15/K:3+8-28
11425000 12125000 i^sh-a+w=a/A:-1+4+2/B:03-xx_xx/C:15_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_1|1_5/G:2_2%0_xx_0/H:xx_xx/I:1-5@1+3&1-8|1+28/J:5_15/K:3+8-28
12125000 12825000 sh^a-w+a=pau/A:0+5+1/B:15-xx_xx/C:24_xx+xx/D:07+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_1|1_5/G:2_2%0_xx_0/H:xx_xx/I:1-5@1+3&1-8|1+28/J:5_15/K:3+8-28
12825000 14524999 a^w-a+pau=k/A:0+5+1/B:15-xx_xx/C:24_xx+xx/D:07+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_1|1_5/G:2_2%0_xx_0/H:xx_xx/I:1-5@1+3&1-8|1+28/J:5_15/K:3+8-28
14524999 17225000 w^a-pau+k=o/A:xx+xx+xx/B:24-xx_xx/C:xx_xx+xx/D:07+xx_xx/E:5_5!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:2_2%0_xx_xx/H:1_5/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_15/K:3+8-28
