0 2325000 xx^xx-sil+ky=U/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:06+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_17/K:1+5-17
2325000 3525000 xx^sil-ky+U=ky/A:-1+1+4/B:xx-xx_xx/C:06_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_5|1_17/G:4_4%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
3525000 4325000 sil^ky-U+ky=u/A:-1+1+4/B:xx-xx_xx/C:06_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_5|1_17/G:4_4%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
4325000 5225000 ky^U-ky+u=cl/A:0+2+3/B:xx-xx_xx/C:06_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_5|1_17/G:4_4%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
5225000 6225000 U^ky-u+cl=t/A:0+2+3/B:xx-xx_xx/C:06_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_5|1_17/G:4_4%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
6225000 6625000 ky^u-cl+t=o/A:1+3+2/B:xx-xx_xx/C:06_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_5|1_17/G:4_4%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
6625000 7125000 u^cl-t+o=n/A:2+4+1/B:06-xx_xx/C:13_xx+xx/D:20+1_1/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_5|1_17/G:4_4%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
7125000 7524999 cl^t-o+n=a/A:2+4+1/B:06-xx_xx/C:13_xx+xx/D:20+1_1/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_5|1_17/G:4_4%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
7524999 8325000 t^o-n+a=r/A:-3+1+4/B:13-xx_xx/C:20_1+1/D:10+7_2/E:4_2!0_xx-1/F:4_4#0_xx@2_4|5_13/G:3_2%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
8325000 9125000 o^n-a+r=a/A:-3+1+4/B:13-xx_xx/C:20_1+1/D:10+7_2/E:4_2!0_xx-1/F:4_4#0_xx@2_4|5_13/G:3_2%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
9125000 9525000 n^a-r+a=sh/A:-2+2+3/B:13-xx_xx/C:20_1+1/D:10+7_2/E:4_2!0_xx-1/F:4_4#0_xx@2_4|5_13/G:3_2%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
