0 1825000 xx^xx-sil+t=i/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_20/K:3+11-35
1825000 2425000 xx^sil-t+i=f/A:0+1+5/B:xx-xx_xx/C:18_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_4|1_20/G:4_1%0_xx_1/H:xx_xx/I:4-20@1+3&1-11|1+35/J:4_8/K:3+11-35
2425000 3225000 sil^t-i+f=a/A:0+1+5/B:xx-xx_xx/C:18_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_4|1_20/G:4_1%0_xx_1/H:xx_xx/I:4-20@1+3&1-11|1+35/J:4_8/K:3+11-35
3225000 3525000 t^i-f+a=n/A:1+2+4/B:xx-xx_xx/C:18_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_4|1_20/G:4_1%0_xx_1/H:xx_xx/I:4-20@1+3&1-11|1+35/J:4_8/K:3+11-35
3525000 4625000 i^f-a+n=i/A:1+2+4/B:xx-xx_xx/C:18_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_4|1_20/G:4_1%0_xx_1/H:xx_xx/I:4-20@1+3&1-11|1+35/J:4_8/K:3+11-35
4625000 5925000 f^a-n+i=i/A:2+3+3/B:xx-xx_xx/C:18_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_4|1_20/G:4_1%0_xx_1/H:xx_xx/I:4-20@1+3&1-11|1+35/J:4_8/K:3+11-35
5925000 6425000 a^n-i+i=w/A:2+3+3/B:xx-xx_xx/C:18_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_4|1_20/G:4_1%0_xx_1/H:xx_xx/I:4-20@1+3&1-11|1+35/J:4_8/K:3+11-35
6425000 7524999 n^i-i+w=a/A:3+4+2/B:xx-xx_xx/C:18_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_4|1_20/G:4_1%0_xx_1/H:xx_xx/I:4-20@1+3&1-11|1+35/J:4_8/K:3+11-35
7524999 8625000 i^i-w+a=p/A:4+5+1/B:18-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_4|1_20/G:4_1%0_xx_1/H:xx_xx/I:4-20@1+3&1-11|1+35/J:4_8/K:3+11-35
8625000 9225000 i^w-a+p=a/A:4+5+1/B:18-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_4|1_20/G:4_1%0_xx_1/H:xx_xx/I:4-20@1+3&1-11|1+35/J:4_8/K:3+11-35
9225000 10325000 w^a-p+a=p/A:0+1+4/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_1!0_xx-1/F:4_1#0_xx@2_3|6_15/G:4_2%0_xx_1/H:xx_xx/I:4-20@1+3&1-11|1+35/J:4_8/K:3+11-35
