0 3225000 xx^xx-sil+s=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:07+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:2_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_6/K:2+5-23
3225000 4325000 xx^sil-s+o=n/A:-1+1+2/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_2|1_6/G:4_4%0_xx_1/H:xx_xx/I:2-6@1+2&1-5|1+23/J:3_17/K:2+5-23
4325000 4925000 sil^s-o+n=o/A:-1+1+2/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_2|1_6/G:4_4%0_xx_1/H:xx_xx/I:2-6@1+2&1-5|1+23/J:3_17/K:2+5-23
4925000 5425000 s^o-n+o=g/A:0+2+1/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_2|1_6/G:4_4%0_xx_1/H:xx_xx/I:2-6@1+2&1-5|1+23/J:3_17/K:2+5-23
5425000 5825000 o^n-o+g=i/A:0+2+1/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_2|1_6/G:4_4%0_xx_1/H:xx_xx/I:2-6@1+2&1-5|1+23/J:3_17/K:2+5-23
5825000 6525000 n^o-g+i=g/A:-3+1+4/B:07-xx_xx/C:02_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:4_4#0_xx@2_1|3_4/G:7_5%0_xx_0/H:xx_xx/I:2-6@1+2&1-5|1+23/J:3_17/K:2+5-23
6525000 7625000 o^g-i+g=u/A:-3+1+4/B:07-xx_xx/C:02_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:4_4#0_xx@2_1|3_4/G:7_5%0_xx_0/H:xx_xx/I:2-6@1+2&1-5|1+23/J:3_17/K:2+5-23
7625000 8025000 g^i-g+u=N/A:-2+2+3/B:07-xx_xx/C:02_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:4_4#0_xx@2_1|3_4/G:7_5%0_xx_0/H:xx_xx/I:2-6@1+2&1-5|1+23/J:3_17/K:2+5-23
8025000 8625000 i^g-u+N=w/A:-2+2+3/B:07-xx_xx/C:02_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:4_4#0_xx@2_1|3_4/G:7_5%0_xx_0/H:xx_xx/I:2-6@1+2&1-5|1+23/J:3_17/K:2+5-23
8625000 9225000 g^u-N+w=a/A:-1+3+2/B:07-xx_xx/C:02_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:4_4#0_xx@2_1|3_4/G:7_5%0_xx_0/H:xx_xx/I:2-6@1+2&1-5|1+23/J:3_17/K:2+5-23
9225000 10125000 u^N-w+a=pau/A:0+4+1/B:02-xx_xx/C:24_xx+xx/D:05+xx_xx/E:2_2!0_xx-1/F:4_4#0_xx@2_1|3_4/G:7_5%0_xx_0/H:xx_xx/I:2-6@1+2&1-5|1+23/J:3_17/K:2+5-23
