0 4525000 xx^xx-sil+h=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_11/K:2+5-20
4525000 5425000 xx^sil-h+o=t/A:-1+1+5/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_2|1_11/G:6_6%0_xx_1/H:xx_xx/I:2-11@1+2&1-5|1+20/J:3_9/K:2+5-20
5425000 6525000 sil^h-o+t=o/A:-1+1+5/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_2|1_11/G:6_6%0_xx_1/H:xx_xx/I:2-11@1+2&1-5|1+20/J:3_9/K:2+5-20
6525000 6825000 h^o-t+o=N/A:0+2+4/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_2|1_11/G:6_6%0_xx_1/H:xx_xx/I:2-11@1+2&1-5|1+20/J:3_9/K:2+5-20
6825000 7225000 o^t-o+N=d/A:0+2+4/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_2|1_11/G:6_6%0_xx_1/H:xx_xx/I:2-11@1+2&1-5|1+20/J:3_9/K:2+5-20
7225000 8625000 t^o-N+d=o/A:1+3+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_2|1_11/G:6_6%0_xx_1/H:xx_xx/I:2-11@1+2&1-5|1+20/J:3_9/K:2+5-20
8625000 8925000 o^N-d+o=n/A:2+4+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_2|1_11/G:6_6%0_xx_1/H:xx_xx/I:2-11@1+2&1-5|1+20/J:3_9/K:2+5-20
8925000 9425000 N^d-o+n=o/A:2+4+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_2|1_11/G:6_6%0_xx_1/H:xx_xx/I:2-11@1+2&1-5|1+20/J:3_9/K:2+5-20
9425000 9725000 d^o-n+o=h/A:3+5+1/B:02-xx_xx/C:23_xx+xx/D:16+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_2|1_11/G:6_6%0_xx_1/H:xx_xx/I:2-11@1+2&1-5|1+20/J:3_9/K:2+5-20
9725000 10025000 o^n-o+h=I/A:3+5+1/B:02-xx_xx/C:23_xx+xx/D:16+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_2|1_11/G:6_6%0_xx_1/H:xx_xx/I:2-11@1+2&1-5|1+20/J:3_9/K:2+5-20
10025000 11325000 n^o-h+I=ch/A:-5+1+6/B:23-xx_xx/C:16_xx+xx/D:03+xx_xx/E:5_2!0_xx-1/F:6_6#0_xx@2_1|6_6/G:4_4%0_xx_0/H:xx_xx/I:2-11@1+2&1-5|1+20/J:3_9/K:2+5-20
