0 1925000 xx^xx-sil+s=U/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:7_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_17/K:2+7-29
1925000 2725000 xx^sil-s+U=ch/A:-1+1+7/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:7_2#0_xx@1_4|1_17/G:3_3%0_xx_1/H:xx_xx/I:4-17@1+2&1-7|1+29/J:3_12/K:2+7-29
2725000 3025000 sil^s-U+ch=u/A:-1+1+7/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:7_2#0_xx@1_4|1_17/G:3_3%0_xx_1/H:xx_xx/I:4-17@1+2&1-7|1+29/J:3_12/K:2+7-29
3025000 4025000 s^U-ch+u=u/A:0+2+6/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:7_2#0_xx@1_4|1_17/G:3_3%0_xx_1/H:xx_xx/I:4-17@1+2&1-7|1+29/J:3_12/K:2+7-29
4025000 5425000 U^ch-u+u=d/A:0+2+6/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:7_2#0_xx@1_4|1_17/G:3_3%0_xx_1/H:xx_xx/I:4-17@1+2&1-7|1+29/J:3_12/K:2+7-29
5425000 5825000 ch^u-u+d=e/A:1+3+5/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:7_2#0_xx@1_4|1_17/G:3_3%0_xx_1/H:xx_xx/I:4-17@1+2&1-7|1+29/J:3_12/K:2+7-29
5825000 6525000 u^u-d+e=N/A:2+4+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:7_2#0_xx@1_4|1_17/G:3_3%0_xx_1/H:xx_xx/I:4-17@1+2&1-7|1+29/J:3_12/K:2+7-29
6525000 7325000 u^d-e+N=t/A:2+4+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:7_2#0_xx@1_4|1_17/G:3_3%0_xx_1/H:xx_xx/I:4-17@1+2&1-7|1+29/J:3_12/K:2+7-29
7325000 7825000 d^e-N+t=o/A:3+5+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:7_2#0_xx@1_4|1_17/G:3_3%0_xx_1/H:xx_xx/I:4-17@1+2&1-7|1+29/J:3_12/K:2+7-29
7825000 8225000 e^N-t+o=g/A:4+6+2/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:7_2#0_xx@1_4|1_17/G:3_3%0_xx_1/H:xx_xx/I:4-17@1+2&1-7|1+29/J:3_12/K:2+7-29
8225000 8625000 N^t-o+g=a/A:4+6+2/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:7_2#0_xx@1_4|1_17/G:3_3%0_xx_1/H:xx_xx/I:4-17@1+2&1-7|1+29/J:3_12/K:2+7-29
8625000 8925000 t^o-g+a=h/A:5+7+1/B:02-xx_xx/C:13_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:7_2#0_xx@1_4|1_17/G:3_3%0_xx_1/H:xx_xx/I:4-17@1+2&1-7|1+29/J:3_12/K:2+7-29
8925000 9625000 o^g-a+h=I/A:5+7+1/B:02-xx_xx/C:13_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:7_2#0_xx@1_4|1_17/G:3_3%0_xx_1/H:xx_xx/I:4-17@1+2&1-7|1+29/J:3_12/K:2+7-29
9625000 9925000 g^a-h+I=s/A:-2+1+3/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:7_2!0_xx-1/F:3_3#0_xx@2_3|8_10/G:2_2%0_xx_1/H:xx_xx/I:4-17@1+2&1-7|1+29/J:3_12/K:2+7-29
9925000 11025000 a^h-I+s=a/A:-2+1+3/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:7_2!0_xx-1/F:3_3#0_xx@2_3|8_10/G:2_2%0_xx_1/H:xx_xx/I:4-17@1+2&1-7|1+29/J:3_12/K:2+7-29
11025000 11825000 h^I-s+a=i/A:-1+2+2/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:7_2!0_xx-1/F:3_3#0_xx@2_3|8_10/G:2_2%0_xx_1/H:xx_xx/I:4-17@1+2&1-7|1+29/J:3_12/K:2+7-29
11825000 12225000 I^s-a+i=s/A:-1+2+2/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:7_2!0_xx-1/F:3_3#0_xx@2_3|8_10/G:2_2%0_xx_1/H:xx_xx/I:4-17@1+2&1-7|1+29/J:3_12/K:2+7-29
12225000 13225000 s^a-i+s=u/A:0+3+1/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:7_2!0_xx-1/F:3_3#0_xx@2_3|8_10/G:2_2%0_xx_1/H:xx_xx/I:4-17@1+2&1-7|1+29/J:3_12/K:2+7-29
13225000 13525000 a^i-s+u=r/A:-1+1+2/B:03-xx_xx/C:20_4+2/D:02+xx_xx/E:3_3!0_xx-1/F:2_2#0_xx@3_2|11_7/G:5_1%0_xx_1/H:xx_xx/I:4-17@1+2&1-7|1+29/J:3_12/K:2+7-29
13525000 14125000 i^s-u+r=u/A:-1+1+2/B:03-xx_xx/C:20_4+2/D:02+xx_xx/E:3_3!0_xx-1/F:2_2#0_xx@3_2|11_7/G:5_1%0_xx_1/H:xx_xx/I:4-17@1+2&1-7|1+29/J:3_12/K:2+7-29
14125000 14625000 s^u-r+u=f/A:0+2+1/B:03-xx_xx/C:20_4+2/D:02+xx_xx/E:3_3!0_xx-1/F:2_2#0_xx@3_2|11_7/G:5_1%0_xx_1/H:xx_xx/I:4-17@1+2&1-7|1+29/J:3_12/K:2+7-29
14625000 15025000 u^r-u+f=a/A:0+2+1/B:03-xx_xx/C:20_4+2/D:02+xx_xx/E:3_3!0_xx-1/F:2_2#0_xx@3_2|11_7/G:5_1%0_xx_1/H:xx_xx/I:4-17@1+2&1-7|1+29/J:3_12/K:2+7-29
15025000 16025000 r^u-f+a=k/A:0+1+5/B:20-4_2/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:5_1#0_xx@4_1|13_5/G:4_4%0_xx_0/H:xx_xx/I:4-17@1+2&1-7|1+29/J:3_12/K:2+7-29
16025000 16425000 u^f-a+k=U/A:0+1+5/B:20-4_2/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:5_1#0_xx@4_1|13_5/G:4_4%0_xx_0/H:xx_xx/I:4-17@1+2&1-7|1+29/J:3_12/K:2+7-29
16425000 16725000 f^a-k+U=t/A:1+2+4/B:20-4_2/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:5_1#0_xx@4_1|13_5/G:4_4%0_xx_0/H:xx_xx/I:4-17@1+2&1-7|1+29/J:3_12/K:2+7-29
16725000 17425000 a^k-U+t=a/A:1+2+4/B:20-4_2/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:5_1#0_xx@4_1|13_5/G:4_4%0_xx_0/H:xx_xx/I:4-17@1+2&1-7|1+29/J:3_12/K:2+7-29
17425000 19025000 k^U-t+a=a/A:2+3+3/B:20-4_2/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:5_1#0_xx@4_1|13_5/G:4_4%0_xx_0/H:xx_xx/I:4-17@1+2&1-7|1+29/J:3_12/K:2+7-29
19025000 21025000 U^t-a+a=o/A:2+3+3/B:20-4_2/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:5_1#0_xx@4_1|13_5/G:4_4%0_xx_0/H:xx_xx/I:4-17@1+2&1-7|1+29/J:3_12/K:2+7-29
21025000 21625000 t^a-a+o=pau/A:3+4+2/B:20-4_2/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:5_1#0_xx@4_1|13_5/G:4_4%0_xx_0/H:xx_xx/I:4-17@1+2&1-7|1+29/J:3_12/K:2+7-29
21625000 22525000 a^a-o+pau=k/A:4+5+1/B:02-xx_xx/C:13_xx+xx/D:19+xx_xx/E:2_2!0_xx-1/F:5_1#0_xx@4_1|13_5/G:4_4%0_xx_0/H:xx_xx/I:4-17@1+2&1-7|1+29/J:3_12/K:2+7-29
22525000 23125000 a^o-pau+k=a/A:xx+xx+xx/B:13-xx_xx/C:xx_xx+xx/D:19+xx_xx/E:5_1!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_4%0_xx_xx/H:4_17/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_12/K:2+7-29
23125000 23825000 o^pau-k+a=n/A:-3+1+4/B:13-xx_xx/C:19_xx+xx/D:10+7_3/E:5_1!0_xx-0/F:4_4#0_xx@1_3|1_12/G:3_1%0_xx_1/H:4_17/I:3-12@2+1&5-3|18+12/J:xx_xx/K:2+7-29
23825000 24925000 pau^k-a+n=o/A:-3+1+4/B:13-xx_xx/C:19_xx+xx/D:10+7_3/E:5_1!0_xx-0/F:4_4#0_xx@1_3|1_12/G:3_1%0_xx_1/H:4_17/I:3-12@2+1&5-3|18+12/J:xx_xx/K:2+7-29
24925000 25625000 k^a-n+o=o/A:-2+2+3/B:13-xx_xx/C:19_xx+xx/D:10+7_3/E:5_1!0_xx-0/F:4_4#0_xx@1_3|1_12/G:3_1%0_xx_1/H:4_17/I:3-12@2+1&5-3|18+12/J:xx_xx/K:2+7-29
25625000 26225000 a^n-o+o=n/A:-2+2+3/B:13-xx_xx/C:19_xx+xx/D:10+7_3/E:5_1!0_xx-0/F:4_4#0_xx@1_3|1_12/G:3_1%0_xx_1/H:4_17/I:3-12@2+1&5-3|18+12/J:xx_xx/K:2+7-29
26225000 26825000 n^o-o+n=a/A:-1+3+2/B:13-xx_xx/C:19_xx+xx/D:10+7_3/E:5_1!0_xx-0/F:4_4#0_xx@1_3|1_12/G:3_1%0_xx_1/H:4_17/I:3-12@2+1&5-3|18+12/J:xx_xx/K:2+7-29
26825000 27525000 o^o-n+a=k/A:0+4+1/B:19-xx_xx/C:10_7+3/D:22+xx_xx/E:5_1!0_xx-0/F:4_4#0_xx@1_3|1_12/G:3_1%0_xx_1/H:4_17/I:3-12@2+1&5-3|18+12/J:xx_xx/K:2+7-29
27525000 28125000 o^n-a+k=a/A:0+4+1/B:19-xx_xx/C:10_7+3/D:22+xx_xx/E:5_1!0_xx-0/F:4_4#0_xx@1_3|1_12/G:3_1%0_xx_1/H:4_17/I:3-12@2+1&5-3|18+12/J:xx_xx/K:2+7-29
28125000 28825000 n^a-k+a=g/A:0+1+3/B:10-7_3/C:22_xx+xx/D:20+1_2/E:4_4!0_xx-1/F:3_1#0_xx@2_2|5_8/G:5_4%0_xx_1/H:4_17/I:3-12@2+1&5-3|18+12/J:xx_xx/K:2+7-29
28825000 29125000 a^k-a+g=i/A:0+1+3/B:10-7_3/C:22_xx+xx/D:20+1_2/E:4_4!0_xx-1/F:3_1#0_xx@2_2|5_8/G:5_4%0_xx_1/H:4_17/I:3-12@2+1&5-3|18+12/J:xx_xx/K:2+7-29
29125000 30025000 k^a-g+i=r/A:1+2+2/B:10-7_3/C:22_xx+xx/D:20+1_2/E:4_4!0_xx-1/F:3_1#0_xx@2_2|5_8/G:5_4%0_xx_1/H:4_17/I:3-12@2+1&5-3|18+12/J:xx_xx/K:2+7-29
30025000 30724999 a^g-i+r=i/A:1+2+2/B:10-7_3/C:22_xx+xx/D:20+1_2/E:4_4!0_xx-1/F:3_1#0_xx@2_2|5_8/G:5_4%0_xx_1/H:4_17/I:3-12@2+1&5-3|18+12/J:xx_xx/K:2+7-29
30724999 31225000 g^i-r+i=t/A:2+3+1/B:10-7_3/C:22_xx+xx/D:20+1_2/E:4_4!0_xx-1/F:3_1#0_xx@2_2|5_8/G:5_4%0_xx_1/H:4_17/I:3-12@2+1&5-3|18+12/J:xx_xx/K:2+7-29
