0 4925000 xx^xx-sil+sh=e/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_11/K:2+6-27
4925000 6225000 xx^sil-sh+e=p/A:-1+1+5/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_2|1_11/G:6_6%0_xx_1/H:xx_xx/I:2-11@1+2&1-6|1+27/J:4_16/K:2+6-27
6225000 7125000 sil^sh-e+p=a/A:-1+1+5/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_2|1_11/G:6_6%0_xx_1/H:xx_xx/I:2-11@1+2&1-6|1+27/J:4_16/K:2+6-27
7125000 7825000 sh^e-p+a=a/A:0+2+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_2|1_11/G:6_6%0_xx_1/H:xx_xx/I:2-11@1+2&1-6|1+27/J:4_16/K:2+6-27
7825000 9425000 e^p-a+a=d/A:0+2+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_2|1_11/G:6_6%0_xx_1/H:xx_xx/I:2-11@1+2&1-6|1+27/J:4_16/K:2+6-27
9425000 9825000 p^a-a+d=o/A:1+3+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_2|1_11/G:6_6%0_xx_1/H:xx_xx/I:2-11@1+2&1-6|1+27/J:4_16/K:2+6-27
9825000 10625000 a^a-d+o=t/A:2+4+2/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_2|1_11/G:6_6%0_xx_1/H:xx_xx/I:2-11@1+2&1-6|1+27/J:4_16/K:2+6-27
10625000 11125000 a^d-o+t=o/A:2+4+2/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_2|1_11/G:6_6%0_xx_1/H:xx_xx/I:2-11@1+2&1-6|1+27/J:4_16/K:2+6-27
11125000 11825000 d^o-t+o=d/A:3+5+1/B:02-xx_xx/C:13_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_2|1_11/G:6_6%0_xx_1/H:xx_xx/I:2-11@1+2&1-6|1+27/J:4_16/K:2+6-27
11825000 12325000 o^t-o+d=o/A:3+5+1/B:02-xx_xx/C:13_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_2|1_11/G:6_6%0_xx_1/H:xx_xx/I:2-11@1+2&1-6|1+27/J:4_16/K:2+6-27
12325000 13625000 t^o-d+o=o/A:-5+1+6/B:13-xx_xx/C:03_xx+xx/D:15+xx_xx/E:5_2!0_xx-1/F:6_6#0_xx@2_1|6_6/G:5_1%0_xx_0/H:xx_xx/I:2-11@1+2&1-6|1+27/J:4_16/K:2+6-27
