0 3525000 xx^xx-sil+s=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:20+1_3/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:1_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_1/K:3+6-20
3525000 4625000 xx^sil-s+a=pau/A:0+1+1/B:xx-xx_xx/C:20_1+3/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:1_1#0_xx@1_1|1_1/G:2_2%0_xx_0/H:xx_xx/I:1-1@1+3&1-6|1+20/J:1_2/K:3+6-20
4625000 5225000 sil^s-a+pau=t/A:0+1+1/B:xx-xx_xx/C:20_1+3/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:1_1#0_xx@1_1|1_1/G:2_2%0_xx_0/H:xx_xx/I:1-1@1+3&1-6|1+20/J:1_2/K:3+6-20
5225000 6324999 s^a-pau+t=o/A:xx+xx+xx/B:20-1_3/C:xx_xx+xx/D:02+xx_xx/E:1_1!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:2_2%0_xx_xx/H:1_1/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_2/K:3+6-20
6324999 6925000 a^pau-t+o=sh/A:-1+1+2/B:20-1_3/C:02_xx+xx/D:02+xx_xx/E:1_1!0_xx-0/F:2_2#0_xx@1_1|1_2/G:5_2%0_xx_0/H:1_1/I:1-2@2+2&2-5|2+19/J:4_17/K:3+6-20
6925000 7325000 pau^t-o+sh=i/A:-1+1+2/B:20-1_3/C:02_xx+xx/D:02+xx_xx/E:1_1!0_xx-0/F:2_2#0_xx@1_1|1_2/G:5_2%0_xx_0/H:1_1/I:1-2@2+2&2-5|2+19/J:4_17/K:3+6-20
7325000 7825000 t^o-sh+i=pau/A:0+2+1/B:20-1_3/C:02_xx+xx/D:02+xx_xx/E:1_1!0_xx-0/F:2_2#0_xx@1_1|1_2/G:5_2%0_xx_0/H:1_1/I:1-2@2+2&2-5|2+19/J:4_17/K:3+6-20
7825000 10125000 o^sh-i+pau=ky/A:0+2+1/B:20-1_3/C:02_xx+xx/D:02+xx_xx/E:1_1!0_xx-0/F:2_2#0_xx@1_1|1_2/G:5_2%0_xx_0/H:1_1/I:1-2@2+2&2-5|2+19/J:4_17/K:3+6-20
10125000 10425000 sh^i-pau+ky=o/A:xx+xx+xx/B:02-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:2_2!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_2%0_xx_xx/H:1_2/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_17/K:3+6-20
10425000 11125000 i^pau-ky+o=s/A:-1+1+5/B:02-xx_xx/C:02_xx+xx/D:23+xx_xx/E:2_2!0_xx-0/F:5_2#0_xx@1_4|1_17/G:5_1%0_xx_1/H:1_2/I:4-17@3+1&3-4|4+17/J:xx_xx/K:3+6-20
11125000 11525000 pau^ky-o+s=u/A:-1+1+5/B:02-xx_xx/C:02_xx+xx/D:23+xx_xx/E:2_2!0_xx-0/F:5_2#0_xx@1_4|1_17/G:5_1%0_xx_1/H:1_2/I:4-17@3+1&3-4|4+17/J:xx_xx/K:3+6-20
11525000 12725000 ky^o-s+u=u/A:0+2+4/B:02-xx_xx/C:02_xx+xx/D:23+xx_xx/E:2_2!0_xx-0/F:5_2#0_xx@1_4|1_17/G:5_1%0_xx_1/H:1_2/I:4-17@3+1&3-4|4+17/J:xx_xx/K:3+6-20
12725000 13525000 o^s-u+u=t/A:0+2+4/B:02-xx_xx/C:02_xx+xx/D:23+xx_xx/E:2_2!0_xx-0/F:5_2#0_xx@1_4|1_17/G:5_1%0_xx_1/H:1_2/I:4-17@3+1&3-4|4+17/J:xx_xx/K:3+6-20
13525000 13925000 s^u-u+t=o/A:1+3+3/B:02-xx_xx/C:02_xx+xx/D:23+xx_xx/E:2_2!0_xx-0/F:5_2#0_xx@1_4|1_17/G:5_1%0_xx_1/H:1_2/I:4-17@3+1&3-4|4+17/J:xx_xx/K:3+6-20
13925000 14424999 u^u-t+o=e/A:2+4+2/B:02-xx_xx/C:23_xx+xx/D:13+xx_xx/E:2_2!0_xx-0/F:5_2#0_xx@1_4|1_17/G:5_1%0_xx_1/H:1_2/I:4-17@3+1&3-4|4+17/J:xx_xx/K:3+6-20
14424999 14725000 u^t-o+e=ch/A:2+4+2/B:02-xx_xx/C:23_xx+xx/D:13+xx_xx/E:2_2!0_xx-0/F:5_2#0_xx@1_4|1_17/G:5_1%0_xx_1/H:1_2/I:4-17@3+1&3-4|4+17/J:xx_xx/K:3+6-20
